term_id,term_str,n,num,pos_max,stop,p_stem
396,267,1,1,CD,0,267
397,268,1,1,CD,0,268
398,269,1,1,CD,0,269
399,26inch,1,1,JJ,0,26inch
400,27,21,1,CD,0,27
401,270,3,1,CD,0,270
402,271,1,1,CD,0,271
403,272,1,1,CD,0,272
404,273,1,1,CD,0,273
405,274,1,1,CD,0,274
406,275,1,1,CD,0,275
407,276,1,1,CD,0,276
408,277,1,1,CD,0,277
409,278,1,1,CD,0,278
410,279,1,1,CD,0,279
411,27th,1,1,CD,0,27th
412,28,21,1,CD,0,28
413,280,1,1,CD,0,280
414,280s,1,1,CD,0,280
415,281,2,1,CD,0,281
416,282,1,1,CD,0,282
417,283,1,1,CD,0,283
418,2834,1,1,CD,0,2834
419,284,1,1,CD,0,284
420,285,1,1,CD,0,285
421,286,1,1,CD,0,286
422,287,1,1,CD,0,287
423,288,1,1,CD,0,288
424,289,1,1,CD,0,289
425,29,19,1,CD,0,29
426,290,1,1,CD,0,290
427,291,1,1,CD,0,291
428,292,1,1,CD,0,292
429,293,1,1,CD,0,293
430,294,1,1,CD,0,294
431,295,1,1,CD,0,295
432,296,1,1,CD,0,296
433,297,1,1,CD,0,297
434,298,1,1,CD,0,298
435,299,1,1,CD,0,299
436,2cellos,1,1,CD,0,2cello
437,2for1s,1,1,JJ,0,2for1
438,2g,1,1,CD,0,2g
439,2gether,5,1,JJ,0,2gether
440,2k,2,1,CD,0,2k
441,2nd,7,1,CD,0,2nd
442,2pac,25,1,CD,0,2pac
443,2pacalypse,1,1,CD,0,2pacalyps
444,2pacs,2,1,CD,0,2pac
445,2ways,2,1,JJ,0,2way
446,2x,52,1,NN,0,2x
447,2x4,2,1,CD,0,2x4
448,2yea,1,1,CD,0,2yea
449,3,211,1,CD,0,3
450,30,35,1,CD,0,30
451,300,11,1,CD,0,300
452,3000,1,1,CD,0,3000
453,3005,2,1,CD,0,3005
454,300s,1,1,JJ,0,300
455,301,1,1,CD,0,301
456,302,1,1,CD,0,302
457,303,1,1,CD,0,303
458,3030,5,1,CD,0,3030
459,304,1,1,CD,0,304
460,305,9,1,CD,0,305
461,306,2,1,CD,0,306
462,307,1,1,CD,0,307
463,308,1,1,CD,0,308
464,309,1,1,CD,0,309
465,30k,1,1,CD,0,30k
466,30s,9,1,CD,0,30
467,30th,2,1,NNP,0,30th
468,31,16,1,CD,0,31
469,310,7,1,CD,0,310
470,311,6,1,CD,0,311
471,312,4,1,CD,0,312
472,31276210,1,1,JJ,0,31276210
473,313,1,1,CD,0,313
474,314,1,1,CD,0,314
475,315,3,1,CD,0,315
476,316,1,1,CD,0,316
477,317,1,1,CD,0,317
478,318,1,1,CD,0,318
479,319,1,1,CD,0,319
480,31st,1,1,CD,0,31st
481,32,19,1,CD,0,32
482,320,2,1,CD,0,320
483,321,1,1,CD,0,321
484,3218692,2,1,JJ,0,3218692
485,322,1,1,CD,0,322
486,323,1,1,CD,0,323
487,3230,2,1,CD,0,3230
488,324,1,1,CD,0,324
489,325,1,1,CD,0,325
490,325s,1,1,CD,0,325
491,326,1,1,CD,0,326
492,327,1,1,CD,0,327
493,328,2,1,CD,0,328
494,329,1,1,CD,0,329
495,33,33,1,CD,0,33
496,330,5,1,CD,0,330
497,331,1,1,CD,0,331
498,332,1,1,CD,0,332
499,333,1,1,CD,0,333
500,334,1,1,CD,0,334
501,335,1,1,CD,0,335
502,336,2,1,CD,0,336
503,337,1,1,CD,0,337
504,338,1,1,CD,0,338
505,339,1,1,CD,0,339
506,33rd,2,1,CD,0,33rd
507,34,17,1,CD,0,34
508,340,1,1,CD,0,340
509,3400,1,1,CD,0,3400
510,341,1,1,CD,0,341
511,342,1,1,CD,0,342
512,343,1,1,CD,0,343
513,3434,1,1,CD,0,3434
514,344,1,1,CD,0,344
515,345,1,1,CD,0,345
516,346,1,1,CD,0,346
517,347,1,1,CD,0,347
518,348,1,1,CD,0,348
519,349,1,1,CD,0,349
520,35,21,1,CD,0,35
521,350,1,1,CD,0,350
522,3500,2,1,CD,0,3500
523,351,1,1,CD,0,351
524,352,1,1,CD,0,352
525,353,1,1,CD,0,353
526,354,3,1,CD,0,354
527,355,1,1,CD,0,355
528,356,1,1,CD,0,356
529,357,1,1,CD,0,357
530,358,1,1,CD,0,358
531,359,1,1,CD,0,359
532,36,21,1,CD,0,36
533,360,3,1,CD,0,360
534,361,1,1,CD,0,361
535,362,1,1,CD,0,362
536,362436,1,1,JJ,0,362436
537,362534,1,1,JJ,0,362534
538,363,1,1,CD,0,363
